AcresBurned,ArchiveYear,Counties,Fatalities,Injuries,Latitude,Longitude,Location,Name,Started,Extinguished,StructuresDamaged,StructuresDestroyed,MajorIncident,Duration_Days
163.0,2013,Yolo,,,38.67479,-122.08725,"Off County Road 23 & County Road 81, Southwest of Esparto",Capay Fire,2013-11-04 11:41:00+00:00,2013-11-04 15:35:00+00:00,,,False,0.0
163.0,2013,El Dorado,,,38.63987,-121.08438,South of Hwy 50 at the El Dorado and Sacramento County line,50 Fire,2013-07-19 14:12:00+00:00,2013-07-19 17:15:00+00:00,,,False,0.0
163.0,2013,Sacramento,,,38.63987,-121.08438,South of Hwy 50 at the El Dorado and Sacramento County line,50 Fire,2013-07-19 14:12:00+00:00,2013-07-19 17:15:00+00:00,,,False,0.0
159.0,2013,Sonoma,,,38.34599,-122.6503,"near Crane Creek Regional Park off Pressley Rd, east of Rohnert Park ",Crane Fire,2013-10-04 12:25:00+00:00,2013-10-05 07:45:00+00:00,,,False,0.0
158.0,2013,Sonoma,,,38.17693,-122.51253,"Off Lakeville Hwy, 6 miles SE of Petaluma",Lakeville Fire,2013-07-26 13:45:00+00:00,2013-07-26 17:45:00+00:00,,,False,0.0
150.0,2013,Alameda,,,0.0,0.0,"Highland Road, Livermore",Highland Fire,2013-10-04 07:35:00+00:00,2013-10-04 10:30:00+00:00,,,False,0.0
150.0,2013,Riverside,,,33.990128,-117.164997,"Redlands Boulevard and San Timoteo Canyon Road, north of Moreno Valley",Redlands Fire,2013-07-16 17:48:00+00:00,2013-07-17 07:45:00+00:00,,,False,0.0
150.0,2013,Stanislaus,,,37.436,-121.1955,"off Diablo Grande Parkway, west of I-5, southwest of Patterson",Diablo Fire,2013-07-12 15:35:00+00:00,2013-07-13 21:45:00+00:00,,,False,1.0
150.0,2013,Fresno,,,36.7218,-119.2248,off Bronco Lane in Squaw Valley,George Fire,2013-06-25 13:36:00+00:00,2013-06-25 17:15:00+00:00,,,False,0.0
150.0,2013,Butte,,,0.0,0.0,"Neal Road, southwest of Paradise",Neal Fire,2013-05-22 00:56:00+00:00,2013-05-22 09:30:00+00:00,,,True,0.0
149.0,2013,Los Angeles,,,34.419284,-118.58688,off Magic Mtn Parkway in Valencia,Magic Fire,2013-05-28 11:30:00+00:00,2013-05-29 15:30:00+00:00,,,False,1.0
134.0,2013,Tulare,,,36.258,-118.459,Golden Trout Wilderness,Angora Fire,2013-09-08 11:53:00+00:00,2013-09-24 20:15:00+00:00,,,False,16.0
125.0,2013,Sonoma,,,38.638828,-122.655616,"Hwy 128 & Yellow Jacket Ranch Rd in Knights Valley, northwest of Calistoga",Yellow Fire,2013-05-01 02:01:00+00:00,2013-05-03 06:15:00+00:00,,,True,2.0
124.0,2013,Solano,,,38.08744,-122.13802,"Off Lake Herman Rd, west of Hwy 680 in Benicia",California Fire,2013-06-18 15:18:00+00:00,2013-06-18 22:30:00+00:00,,,False,0.0
124.0,2013,Merced,,,37.03776,-121.006939,Hwy 152 in San Luis Creek Reservoir,152 Fire,2013-06-04 15:42:00+00:00,2013-06-05 08:30:00+00:00,,,False,0.0
124.0,2013,Riverside,,,33.963591,-117.187934,"Off Smiley Blvd & Vista Suelto Rd, north of Moreno Valley",Smiley Fire,2013-05-25 14:59:00+00:00,2013-05-25 23:00:00+00:00,,,False,0.0
120.0,2013,Lake,,,38.882214,-122.567525,"South of Morgan Valley Rd and East of Hwy 29, Community of Lower Lake",Cantwell Fire,2013-11-08 13:42:00+00:00,2013-11-10 18:30:00+00:00,,1.0,True,2.0
116.0,2013,El Dorado,,,38.682378,-120.839075,"off Koki Ln and Pleasant Valley Rd, northwest of Diamond Springs",Union Fire,2013-08-16 13:55:00+00:00,2013-08-16 17:55:00+00:00,,1.0,True,0.0
110.0,2013,San Bernardino,,,34.287,-117.451,I-15 Cajon Pass south of Cleghorn Road,Cleghorn Fire,2013-08-17 17:25:00+00:00,2013-08-18 20:55:00+00:00,,,False,1.0
108.0,2013,Fresno,,,36.772425,-119.628389,"Clinton and Highland, East of Fresno",Clinton Fire,2013-06-13 11:54:00+00:00,2013-06-13 21:30:00+00:00,,,False,0.0
105.0,2013,Monterey,,,36.1531,-120.8973,"off Hwy 198, 10 miles east of King City",Freeman Fire,2013-06-29 14:09:00+00:00,2013-06-29 18:30:00+00:00,,,False,0.0
100.0,2013,Los Angeles,,,0.0,0.0,San Francisquito Canyon Rd & Stator Ln,Bee Fire,2013-08-09 17:15:00+00:00,2013-08-11 19:15:00+00:00,,,False,2.0
100.0,2013,Tuolumne,,,37.91529,-120.33313,off Lime Kiln Rd,Murphy Fire,2013-06-02 13:30:00+00:00,2013-06-02 16:55:00+00:00,,,False,0.0
100.0,2013,San Diego,,,32.564465,-116.900368,Off Alta Rd in the Otay Mesa area,Border Fire,2013-05-22 16:14:00+00:00,2013-05-23 08:30:00+00:00,,,False,0.0
98.0,2013,Mendocino,,,38.9252,-122.966,"off Highland Springs Rd, southeast of Kelseyville",Highland Fire,2013-09-28 13:57:00+00:00,2013-09-29 18:15:00+00:00,,,False,1.0
97.0,2013,Modoc,,,41.73325,-120.375,"Both sides of Davis Creek near Hwy 395, south of Goose Lake ",Davis Creek Complex,2013-09-05 15:57:00+00:00,2013-09-24 20:15:00+00:00,,,False,19.0
97.0,2013,San Bernardino,,,33.642,-116.706,near Thomas Mountain south of Lake Hemet on the San Jacinto Ranger District.,Little Fire,2013-08-24 15:09:00+00:00,2013-08-30 08:00:00+00:00,,,False,5.0
97.0,2013,Lassen,,,40.88886,-120.958126,"Southeast of Coyote Reservoir, 20 miles southeast of Bieber",Coyote Fire,2013-08-09 15:51:00+00:00,2013-08-12 09:30:00+00:00,,,False,2.0
96.0,2013,Amador,,,38.27783,-120.966016,"Roadrunner Drive, south of Ione",Roadrunner Fire,2013-06-12 16:43:00+00:00,2013-06-13 09:45:00+00:00,,,False,0.0
94.0,2013,San Luis Obispo,,,35.4393,-120.8358,"off Toro Creek Rd, east of Cayucos",Creek Fire,2013-09-24 03:20:00+00:00,2013-09-24 17:30:00+00:00,,,False,0.0
92.0,2013,Butte,,2.0,39.6612,-121.50354,Near Rocky Peak - North Fork Lake Oroville near Cherokee,Branch Fire,2013-08-01 16:01:00+00:00,2013-08-04 14:45:00+00:00,,,True,2.0
91.0,2013,Madera,,,37.1927,-119.7917,Off Road 400 & Sandy Beach Dr. in Yosemite Lakes,Lilly 2 Fire,2013-05-19 15:07:00+00:00,2013-05-20 19:10:00+00:00,,1.0,True,1.0
90.0,2013,Riverside,,,33.9582,-116.6534,Off Whitewater Canyon Road in Whitewater,Water Fire,2013-05-21 14:16:00+00:00,2013-05-21 19:30:00+00:00,,,False,0.0
85.0,2013,San Luis Obispo,,,35.62743,-120.83417,"off Adelaida Rd & Vineyard Dr, west of Paso Robles",Adelaida Fire,2013-07-07 13:16:00+00:00,2013-07-07 22:00:00+00:00,,,False,0.0
82.0,2013,Mendocino,,,39.0442,-123.1478,"Off Hwy 101 at Henry Station Rd, north of Hopland",Retek Fire,2013-11-22 10:06:00+00:00,2013-11-22 17:30:00+00:00,,,False,0.0
80.0,2013,Butte,,1.0,39.731878,-121.713938,"Off Centerville Rd in the Butte Creek Canyon in the community of Centerville, west of Magalia ",Centerville Fire,2013-08-31 17:23:00+00:00,2013-09-01 18:00:00+00:00,,,True,1.0
80.0,2013,Fresno,,,0.0,0.0,Butte Ave near Conejo Ave near the community of Helm.,Butte Fire,2013-04-09 12:35:00+00:00,2013-04-09 15:30:00+00:00,,,False,0.0
75.0,2013,Tehama,,,0.0,0.0,East of Molinos,Tehama Fire,2013-09-15 17:39:00+00:00,2013-09-15 19:00:00+00:00,,,False,0.0
75.0,2013,San Bernardino,,,34.316,-117.352, Hwy 138 west of Hwy 173,Silverwood Fire,2013-07-25 15:09:00+00:00,2013-07-26 18:15:00+00:00,,,False,1.0
75.0,2013,Madera,,,37.169379,-119.75636,Off Revis Road & Yosemite Springs Parkway in Yosemite Lake Parks area in Coarsegold,Revis Fire,2013-06-12 16:40:00+00:00,2013-06-14 16:30:00+00:00,,,True,1.0
75.0,2013,San Bernardino,,1.0,34.1834,-117.4408,"I-15 at Sierra Ave, near Lytle Creek",Lytle Fire,2013-05-13 13:30:00+00:00,2013-05-15 08:15:00+00:00,,1.0,True,1.0
75.0,2013,Napa,,,38.441792,-122.350844,"7300 block of Silverado Trail, north of Napa",Silverado Fire,2013-04-30 23:44:00+00:00,2013-05-01 17:15:00+00:00,,,False,0.0
73.0,2013,San Bernardino,,,34.003151,-117.106075,"Live Oak Canyon Rd, South of I-10 near cities of Redlands and Yucaipa. ",Liveoak Fire,2013-09-11 16:57:00+00:00,2013-09-12 08:45:00+00:00,,,False,0.0
73.0,2013,Yuba,,,39.206,-121.31634,"off Highway 20 and McGanney Lane, west of Smartsville",McGanney Fire,2013-07-08 09:59:00+00:00,2013-07-08 17:30:00+00:00,,,False,0.0
72.0,2013,Butte,,,0.0,0.0,"Off Cedar Creek Loop Rd, South of Butte Meadows",Cedar Fire,2013-05-01 04:16:00+00:00,2013-05-04 19:00:00+00:00,,,True,3.0
70.0,2013,Lake,,,39.013682,-122.491894,"Hwy 20 and Mule Skinner Rd., Clear Lake Oaks",Double Fire,2013-08-16 17:57:00+00:00,2013-08-18 18:30:00+00:00,,,True,2.0
68.0,2013,Modoc,,,41.569,-120.959,"Rail Mountain, 7 miles NW of Canby",Rail Fire,2013-09-07 17:30:00+00:00,2013-09-05 21:00:00+00:00,,,False,-2.0
64.0,2013,Ventura,,,34.384,-119.13249,"Wheeler Canyon, north of Santa Paula",Wheeler Fire,2013-11-14 11:05:00+00:00,2013-11-15 16:00:00+00:00,,,False,1.0
60.0,2013,Riverside,,,38.838,-116.61,Off of Hwy 111 & Tramway Rd in Palm Springs,Tram Fire,2013-08-06 13:39:00+00:00,2013-08-08 09:00:00+00:00,,,False,1.0
60.0,2013,Riverside,,,33.91027,-116.99895,"near Mt. David, south of Beaumont",Relay Fire,2013-08-04 16:29:00+00:00,2013-08-04 18:00:00+00:00,,,False,0.0
52.0,2013,Nevada,,,39.333401,-121.107022,"North San Juan Area, Highway 49 and Tyler Foote Road",Tyler Fire,2013-08-31 14:42:00+00:00,2013-08-31 21:30:00+00:00,,,False,0.0
51.0,2013,San Luis Obispo,,,35.457978,-120.751555,"Toro Creek Rd. and Hwy 41 West, Morro Bay",Toro Fire,2013-11-08 10:30:00+00:00,2013-11-09 17:00:00+00:00,,,True,1.0
50.0,2013,Lake,,,39.0448,-122.7656,"Off Bruner Drive & Al Drive, Clearlake Oaks",Bruner Fire,2013-11-23 12:04:00+00:00,2013-11-24 08:45:00+00:00,,,False,0.0
50.0,2013,Siskiyou,,,41.923323,-122.578393,"Cottonwood Creek Rd., 2 miles north of Hornbrook",Cottonwood Fire,2013-08-15 14:40:00+00:00,2013-08-15 17:00:00+00:00,,,False,0.0
50.0,2013,Santa Clara,,,37.1438,-121.7804,"Uvas Road and Casa Loma Road, near Calero County Park,  west of Morgan Hill",Uvas Fire,2013-07-12 13:09:00+00:00,2013-07-12 17:45:00+00:00,,,False,0.0
50.0,2013,Alameda,,,37.7393,-121.5869,"off Grant Ln Rd & I-580 in the Altamont Pass, 5 miles west of Tracy",Grant Fire,2013-07-04 10:00:00+00:00,2013-07-04 11:30:00+00:00,,,False,0.0
50.0,2013,San Luis Obispo,,,35.5123,-120.6368,"Homestead Rd & Hwy 41, northeast of Atascadero ",Homestead Fire,2013-05-25 17:35:00+00:00,2013-05-25 18:45:00+00:00,,,False,0.0
46.0,2013,Calaveras,,2.0,38.06231,-120.45233,"Parrott's Ferry Road north of the bridge, near Vallecito & New Melones Lake ",Bridges Fire,2013-08-17 10:11:00+00:00,2013-08-19 07:10:00+00:00,,,True,1.0
46.0,2013,Fresno,,,37.03087,-119.463757,"Black Mountain Road at Lodge Road near Sierra High School, southeast of Auberry",Sierra Fire,2013-06-17 14:41:00+00:00,2013-06-19 08:45:00+00:00,,,False,1.0
45.0,2013,Mendocino,,,38.980846,-123.067671,"Hwy 175 & Pratt Ranch Road, East of Hopland ",Pratt Fire,2013-07-23 13:29:00+00:00,2013-07-23 16:00:00+00:00,,,False,0.0
44.0,2013,Ventura,,,0.0,0.0, off Happy Camp Canyon Rd near Moorpark,Happy Camp Fire,2013-12-10 02:26:00+00:00,2013-12-11 17:30:00+00:00,,,False,1.0
43.0,2013,Shasta,,,40.373,-122.7338,off Fiddler,Fiddler Fire,2013-07-09 11:59:00+00:00,2013-07-09 15:00:00+00:00,,,False,0.0
42.0,2013,Riverside,,,33.96936,-117.1265,"off San Timoteo Canyon Rd and Viper Rd, north of Moreno Valley",Viper Fire,2013-06-08 15:37:00+00:00,2013-06-08 19:00:00+00:00,,,False,0.0
41.0,2013,San Mateo,,,37.667295,-122.427285,"Chestnut Ave and Hillside Blvd, San Bruno Mountain, South San Francisco",Chestnut Fire,2013-09-07 13:55:00+00:00,2013-09-07 20:00:00+00:00,,,False,0.0
40.0,2013,Santa Clara,,,37.342186,-121.717706,off Mount Hamilton Road near Grant Ranch County Park,Grant Fire,2013-12-31 05:30:00+00:00,2013-12-31 16:00:00+00:00,,,False,0.0
40.0,2013,Orange,,,33.7655,-117.6649,"Off Baker Canyon Rd, Silverado Canyon area, east of Irvine",Baker Fire,2013-10-06 10:52:00+00:00,2013-10-09 08:00:00+00:00,,,False,2.0
40.0,2013,San Diego,,,0.0,0.0,off I-8 & Los Coches Rd near Lakeside,Valley Fire,2013-09-26 17:29:00+00:00,2013-09-28 09:15:00+00:00,,,False,1.0
40.0,2013,Riverside,,,33.570291,-116.10815,Ave 66 and Pierce Street  ,Pierce Fire,2013-08-16 13:31:00+00:00,2013-08-16 21:00:00+00:00,,,False,0.0
40.0,2013,Siskiyou,,,0.0,0.0,"Siskiyou Wildlife Refuge, 5 miles SE of Montague",Trout Fire,2013-07-31 15:25:00+00:00,2013-07-31 19:25:00+00:00,,,False,0.0
40.0,2013,Riverside,,,33.9634,-117.2508,Heacock St & Sandy Glade Ave in Moreno Valley,Heacock Fire,2013-07-19 16:21:00+00:00,2013-07-20 19:30:00+00:00,,,False,1.0
40.0,2013,Riverside,,,34.001745,-117.302057,"Highgrove Pass Rd and Pigeon Pass Rd, Community of Highgrove",Palmyrita Fire,2013-06-14 13:47:00+00:00,2013-06-15 08:00:00+00:00,,,False,0.0
40.0,2013,Riverside,,,33.655638,-116.161201,"Avenue 54 and Tyler Street, near the community of Coachella",54 Fire,2013-05-16 13:48:00+00:00,2013-05-17 08:30:00+00:00,,,True,0.0
38.0,2013,El Dorado,,,38.89555,-120.84716,off Hwy 193 & Empire Creek Cir near Georgetown,Empire Fire,2013-08-24 14:54:00+00:00,2013-08-24 11:45:00+00:00,,,False,-1.0
